study_words,text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,slider.started,slider.response,slider.rt,text_2.started,textbox.started,text_3.started,mouse.started,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
needle ,,0,0,0,11,,,,,28.9276155,28.9276155,1.0222222222222221,4.1480351000000155,,,,,,,,,,,,,5,001,2023-10-02_16h15.23.599,wordpriming,2023.1.3,60.00070800837045,
marble ,,0,1,1,10,,,,,33.10156610000013,33.10156610000013,1.0222222222222221,1.3224715999999717,,,,,,,,,,,,,5,001,2023-10-02_16h15.23.599,wordpriming,2023.1.3,60.00070800837045,
table ,,0,2,2,12,,,,,34.500709099999995,34.500709099999995,1.0222222222222221,0.9950556999999662,,,,,,,,,,,,,5,001,2023-10-02_16h15.23.599,wordpriming,2023.1.3,60.00070800837045,
chair ,,0,3,3,13,,,,,35.56683640000006,35.56683640000006,1.0222222222222221,0.906902799999898,,,,,,,,,,,,,5,001,2023-10-02_16h15.23.599,wordpriming,2023.1.3,60.00070800837045,
tube,,0,4,4,5,,,,,36.5494834000001,36.5494834000001,1.0222222222222221,1.0149785000000975,,,,,,,,,,,,,5,001,2023-10-02_16h15.23.599,wordpriming,2023.1.3,60.00070800837045,
vase ,,0,5,5,0,,,,,37.66701200000011,37.66701200000011,1.0222222222222221,1.0054375999998229,,,,,,,,,,,,,5,001,2023-10-02_16h15.23.599,wordpriming,2023.1.3,60.00070800837045,
piano,,0,6,6,4,,,,,38.74958770000012,38.74958770000012,1.0222222222222221,1.015799200000174,,,,,,,,,,,,,5,001,2023-10-02_16h15.23.599,wordpriming,2023.1.3,60.00070800837045,
cushion,,0,7,7,3,,,,,39.81483530000014,39.81483530000014,1.0222222222222221,1.0234140000000025,,,,,,,,,,,,,5,001,2023-10-02_16h15.23.599,wordpriming,2023.1.3,60.00070800837045,
clock,,0,8,8,14,,,,,40.93212470000003,40.93212470000003,1.0222222222222221,0.9539921000000504,,,,,,,,,,,,,5,001,2023-10-02_16h15.23.599,wordpriming,2023.1.3,60.00070800837045,
tata,,0,9,9,6,,,,,41.981536300000016,41.981536300000016,1.0222222222222221,1.179174100000182,,,,,,,,,,,,,5,001,2023-10-02_16h15.23.599,wordpriming,2023.1.3,60.00070800837045,
queen,,0,10,10,8,,,,,43.19716220000009,43.19716220000009,1.0222222222222221,0.8370938000000478,,,,,,,,,,,,,5,001,2023-10-02_16h15.23.599,wordpriming,2023.1.3,60.00070800837045,
phone ,,0,11,11,9,,,,,44.130538600000136,44.130538600000136,1.0222222222222221,0.8947292999998808,,,,,,,,,,,,,5,001,2023-10-02_16h15.23.599,wordpriming,2023.1.3,60.00070800837045,
tiger,,0,12,12,1,,,,,45.114140500000076,45.114140500000076,1.0222222222222221,0.8113783999999669,,,,,,,,,,,,,5,001,2023-10-02_16h15.23.599,wordpriming,2023.1.3,60.00070800837045,
book,,0,13,13,2,,,,,46.01453800000013,46.01453800000013,1.0222222222222221,0.8495946999998978,,,,,,,,,,,,,5,001,2023-10-02_16h15.23.599,wordpriming,2023.1.3,60.00070800837045,
mouse,,0,14,14,7,,,,,46.9466152,46.9466152,1.0222222222222221,1.0605619999998908,,,,,,,,,,,,,5,001,2023-10-02_16h15.23.599,wordpriming,2023.1.3,60.00070800837045,
,_ia__,,,,,0,0,0,4,,,,,48.045577300000105,48.045577300000105,48.045577300000105,0.022547499999973297,"ciao
",[-0.12361111111111112],[-0.29305555555555557],[1],[0],[0],[9.68593520000013],['text_3'],5,001,2023-10-02_16h15.23.599,wordpriming,2023.1.3,60.00070800837045,
,c_s_i_n,,,,,0,1,1,3,,,,,57.760791600000175,57.760791600000175,57.760791600000175,0.011679100000037579,cushion,[],[],[],[],[],[],[],5,001,2023-10-02_16h15.23.599,wordpriming,2023.1.3,60.00070800837045,
,t_t_,,,,,0,2,2,6,,,,,67.7737416,67.7737416,67.7737416,0.03716929999995955,tote,"[0.03888888888888889, 0.08611111111111111]","[-0.33611111111111114, -0.2972222222222222]","[1, 1]","[0, 0]","[0, 0]","[6.217428400000017, 7.187906200000043]",['text_3'],5,001,2023-10-02_16h15.23.599,wordpriming,2023.1.3,60.00070800837045,
